TEAM_ID,ABBREVIATION,NICKNAME,YEARFOUNDED,CITY,ARENA,OWNER,GENERALMANAGER,HEADCOACH
1610612737,ATL,Hawks,1949,Atlanta,State Farm Arena,Tony Ressler,Travis Schlenk,Lloyd Pierce
1610612738,BOS,Celtics,1946,Boston,TD Garden,Wyc Grousbeck,Danny Ainge,Brad Stevens
1610612740,NOP,Pelicans,2002,New Orleans,Smoothie King Center,Tom Benson,Trajan Langdon,Alvin Gentry
1610612741,CHI,Bulls,1966,Chicago,United Center,Jerry Reinsdorf,Gar Forman,Jim Boylen
1610612742,DAL,Mavericks,1980,Dallas,American Airlines Center,Mark Cuban,Donnie Nelson,Rick Carlisle
1610612743,DEN,Nuggets,1976,Denver,Pepsi Center,Stan Kroenke,Tim Connelly,Michael Malone
1610612745,HOU,Rockets,1967,Houston,Toyota Center,Tilman Fertitta,Daryl Morey,Mike D'Antoni
1610612746,LAC,Clippers,1970,Los Angeles,Staples Center,Steve Ballmer,Michael Winger,Doc Rivers
1610612747,LAL,Lakers,1948,Los Angeles,Staples Center,Jerry Buss Family Trust,Rob Pelinka,Frank Vogel
1610612748,MIA,Heat,1988,Miami,AmericanAirlines Arena,Micky Arison,Pat Riley,Erik Spoelstra
1610612749,MIL,Bucks,1968,Milwaukee,Fiserv Forum,Wesley Edens & Marc Lasry,Jon Horst,Mike Budenholzer
1610612750,MIN,Timberwolves,1989,Minnesota,Target Center,Glen Taylor,Scott Layden,Ryan Saunders
1610612751,BKN,Nets,1976,Brooklyn,Barclays Center,Joe Tsai,Sean Marks,Kenny Atkinson
1610612752,NYK,Knicks,1946,New York,Madison Square Garden,Cablevision (James Dolan),Steve Mills,David Fizdale
1610612753,ORL,Magic,1989,Orlando,Amway Center,Rick DeVos,John Hammond,Steve Clifford
1610612754,IND,Pacers,1976,Indiana,Bankers Life Fieldhouse,Herb Simon,Kevin Pritchard,Nate McMillan
1610612755,PHI,76ers,1949,Philadelphia,Wells Fargo Center,Joshua Harris,Elton Brand,Brett Brown
1610612756,PHX,Suns,1968,Phoenix,Talking Stick Resort Arena,Robert Sarver,James Jones,Monty Williams
1610612757,POR,Trail Blazers,1970,Portland,Moda Center,Paul Allen,Neil Olshey,Terry Stotts
1610612758,SAC,Kings,1948,Sacramento,Golden 1 Center,Vivek Ranadive,Vlade Divac,Luke Walton
1610612759,SAS,Spurs,1976,San Antonio,AT&T Center,Peter Holt,Brian Wright,Gregg Popovich
1610612760,OKC,Thunder,1967,Oklahoma City,Chesapeake Energy Arena,Clay Bennett,Sam Presti,Billy Donovan
1610612761,TOR,Raptors,1995,Toronto,Scotiabank Arena,Maple Leaf Sports and Entertainment,Masai Ujiri,Nick Nurse
1610612762,UTA,Jazz,1974,Utah,Vivint Smart Home Arena,Greg Miller,Dennis Lindsey,Quin Snyder
1610612763,MEM,Grizzlies,1995,Memphis,FedExForum,Robert Pera,Zach Kleiman,Taylor Jenkins
1610612764,WAS,Wizards,1961,Washington,Capital One Arena,Ted Leonsis,Tommy Sheppard,Scott Brooks
1610612765,DET,Pistons,1948,Detroit,Little Caesars Arena,Tom Gores,Ed Stefanski,Dwane Casey
1610612766,CHA,Hornets,1988,Charlotte,Spectrum Center,Michael Jordan,Mitch Kupchak,James Borrego
1610612739,CLE,Cavaliers,1970,Cleveland,Quicken Loans Arena,Dan Gilbert,Koby Altman,John Beilein
1610612744,GSW,Warriors,1946,Golden State,Chase Center,Joe Lacob,Bob Myers,Steve Kerr
